Observed_PM25,Random_Forest_Predicted_PM25,Gradient_Boosting_Predicted_PM25,RF_Residual,GB_Residual
8.618,7.616449999999999,6.389093223132351,1.0015500000000017,2.2289067768676496
2.795,5.855870000000005,6.265464615560045,-3.060870000000005,-3.4704646155600454
7.311,6.370073333333326,6.8022722840855545,0.940926666666674,0.5087277159144454
8.146,8.203209999999997,7.765433194615178,-0.057209999999995986,0.3805668053848228
7.639,8.448469999999995,8.187118848788455,-0.8094699999999948,-0.5481188487884543
8.592,8.32171333333333,8.208279946501825,0.2702866666666708,0.38372005349817506
3.609,4.039379999999997,4.905815915705572,-0.4303799999999969,-1.2968159157055723
7.119,6.7118166666666665,6.777270751768422,0.40718333333333323,0.34172924823157746
8.755,8.243863333333348,9.255993342490955,0.511136666666653,-0.5009933424909541
3.492,3.229159999999993,4.45236768627106,0.26284000000000685,-0.9603676862710602
5.384,3.65780666666667,5.197687946049114,1.7261933333333301,0.18631205395088646
8.85,7.492993333333337,7.3492563242964435,1.3570066666666625,1.5007436757035562
4.477,5.406863333333333,4.9585864992907105,-0.9298633333333326,-0.4815864992907102
6.335,6.957203333333328,8.276340548176716,-0.6222033333333279,-1.9413405481767159
8.242,8.547660000000002,7.606260087499836,-0.3056600000000014,0.6357399125001653
5.884,7.540893333333332,7.774433673725964,-1.6568933333333318,-1.8904336737259637
13.184,6.86369,8.478930532002035,6.320309999999999,4.705069467997964
9.539,7.967410000000007,6.509352348853593,1.5715899999999925,3.0296476511464068
3.828,7.587570000000004,8.376693072464729,-3.759570000000004,-4.548693072464729
7.731,8.29481999999999,7.958847937921682,-0.5638199999999909,-0.22784793792168223
6.386,6.6836833333333265,7.444135555474558,-0.2976833333333264,-1.058135555474558
10.06,9.472519999999978,8.502351326147243,0.5874800000000224,1.557648673852757
4.477,5.025480000000006,4.993369409338552,-0.5484800000000059,-0.5163694093385516
6.778,6.60789,5.565397234108141,0.17010999999999932,1.2126027658918588
7.799,8.214733333333326,7.342439780890367,-0.41573333333332574,0.4565602191096332
5.948,5.544793333333336,5.281334360514279,0.40320666666666405,0.6666656394857213
9.464,7.571176666666667,7.843252037564971,1.8928233333333333,1.6207479624350292
6.261,7.36138,7.693579635459424,-1.1003799999999995,-1.4325796354594242
5.864,5.730329999999993,5.727765464462382,0.13367000000000662,0.13623453553761777
4.318,4.660593333333336,5.390233676857072,-0.34259333333333597,-1.0722336768570724
7.337,8.42417333333334,8.273260492664809,-1.0871733333333395,-0.9362604926648093
6.895,5.399329999999999,5.938767535520554,1.4956700000000005,0.956232464479446
5.127,6.883636666666666,6.636954955158542,-1.7566366666666662,-1.509954955158542
8.884,8.072496666666662,7.606080130277011,0.8115033333333379,1.2779198697229894
5.643,5.726776666666666,5.644700107148692,-0.08377666666666617,-0.001700107148692176
4.001,6.0181700000000005,6.1751163051539075,-2.01717,-2.174116305153907
14.42,5.210146666666667,6.61919555673981,9.209853333333333,7.80080444326019
7.344,5.823790000000007,5.761194724107597,1.5202099999999934,1.5828052758924036
8.488,8.72830333333333,6.847191036216175,-0.24030333333332976,1.6408089637838241
15.825,11.527096666666667,10.084527900869372,4.297903333333332,5.740472099130628
4.192,4.914813333333332,5.2165393956546025,-0.722813333333332,-1.0245393956546023
5.978,5.882436666666667,7.134841769451453,0.09556333333333278,-1.1568417694514537
4.858,6.346373333333329,6.093482821395363,-1.488373333333329,-1.2354828213953635
5.321,5.029096666666667,6.136374704982822,0.29190333333333296,-0.8153747049828226
7.868,7.894470000000003,6.8554635390495955,-0.026470000000002436,1.0125364609504048
5.475,5.276313333333337,5.194295783569242,0.19868666666666268,0.2807042164307578
7.984,7.724746666666685,7.9649481762865255,0.2592533333333149,0.01905182371347447
6.496,7.980746666666668,7.81209142118436,-1.484746666666668,-1.3160914211843595
3.936,4.615429999999999,5.503525592545116,-0.6794299999999991,-1.567525592545116
6.921,7.259733333333333,7.060460096090619,-0.3387333333333329,-0.1394600960906187
6.467,5.388623333333334,6.272389809169613,1.0783766666666654,0.194610190830387
4.92,5.727140000000004,5.835839569967338,-0.807140000000004,-0.9158395699673383
7.64,6.327826666666664,6.663291287167846,1.3121733333333356,0.9767087128321537
6.746,5.98239,5.5505966368897095,0.7636100000000008,1.195403363110291
3.131,6.079506666666663,6.056035296702571,-2.948506666666663,-2.925035296702571
7.14,7.694886666666664,7.725198027138598,-0.5548866666666648,-0.5851980271385981
5.507,5.06925,5.078334423903316,0.4377499999999994,0.42866557609668376
5.327,6.882286666666653,6.2818010899744054,-1.5552866666666532,-0.9548010899744055
5.836,6.604396666666654,7.174482268634185,-0.7683966666666535,-1.338482268634185
3.275,3.3570300000000017,3.8257963429491446,-0.08203000000000182,-0.5507963429491447
5.195,4.0609699999999975,5.6653934466147255,1.1340300000000028,-0.47039344661472526
4.827,4.978713333333337,5.307006318772166,-0.15171333333333692,-0.4800063187721664
7.713,7.453086666666665,7.475455778059514,0.2599133333333352,0.2375442219404862
5.882,6.780499999999993,7.375338933730236,-0.8984999999999932,-1.4933389337302367
5.239,5.923603333333329,5.35605278790948,-0.684603333333329,-0.11705278790948004
8.213,7.4826900000000025,6.340056968710716,0.7303099999999967,1.8729430312892834
6.767,6.042830000000001,6.117312371204204,0.7241699999999991,0.649687628795796
14.735,11.48184000000001,10.09471700020805,3.2531599999999887,4.64028299979195
6.744,6.392496666666677,5.742397056469236,0.35150333333332284,1.0016029435307638
4.815,5.399056666666673,5.35655679338257,-0.5840566666666724,-0.5415567933825693
7.454,7.4480033333333235,6.621341563698073,0.005996666666676198,0.8326584363019265
6.552,6.028096666666667,6.504289224472579,0.5239033333333323,0.047710775527420424
4.797,4.9072666666666604,5.011609284876029,-0.11026666666666074,-0.2146092848760297
15.268,5.227310000000004,5.251419520587624,10.040689999999998,10.016580479412376
4.277,4.318976666666672,5.698008702242406,-0.0419766666666721,-1.421008702242406
5.757,5.7229633333333245,5.542009768536226,0.03403666666667515,0.21499023146377372
5.452,5.272060000000006,4.793595948728307,0.179939999999994,0.6584040512716927
1.447,7.398263333333334,7.473491364419487,-5.951263333333334,-6.026491364419487
7.993,7.508153333333324,7.531705097106393,0.48484666666667664,0.46129490289360753
4.529,5.224996666666675,6.175579940617563,-0.6959966666666748,-1.6465799406175634
4.846,5.863269999999996,6.600507135753615,-1.0172699999999963,-1.7545071357536148
4.243,4.34937666666667,4.832229852410796,-0.10637666666666945,-0.5892298524107957
7.099,7.919783333333321,7.794198284989074,-0.8207833333333205,-0.6951982849890737
4.941,5.439163333333332,5.312731650535828,-0.4981633333333324,-0.37173165053582835
5.92,6.303169999999988,5.986626582615617,-0.38316999999998824,-0.06662658261561738
4.708,5.090459999999994,5.252780274882432,-0.3824599999999938,-0.5447802748824317
5.823,5.891966666666673,5.507821289084168,-0.06896666666667262,0.3151787109158324
6.992,6.93152000000001,7.082557948572545,0.06047999999999032,-0.0905579485725454
8.768,7.604626666666665,6.196230603559163,1.163373333333336,2.5717693964408372
6.051,6.368583333333332,6.730725683365022,-0.31758333333333155,-0.6797256833650218
6.055,6.369826666666653,5.999966409319277,-0.3148266666666535,0.05503359068072289
6.908,6.845433333333339,7.257691696951722,0.06256666666666177,-0.3496916969517212
5.364,5.474840000000005,5.26132475851874,-0.11084000000000493,0.1026752414812595
6.271,6.524363333333333,6.5348926957291145,-0.2533633333333327,-0.26389269572911456
4.733,5.453100000000004,5.562482955667341,-0.720100000000004,-0.8294829556673413
8.251,8.292636666666663,7.903685653943216,-0.04163666666666366,0.34731434605678313
5.636,6.494620000000013,6.1843061893291935,-0.8586200000000126,-0.5483061893291934
2.646,4.565386666666664,4.023936516688251,-1.9193866666666644,-1.3779365166882513
3.835,3.897553333333327,4.398510297955596,-0.06255333333332702,-0.5635102979555962
4.616,4.976376666666667,4.99524995541455,-0.36037666666666723,-0.37924995541455075
4.752,5.662693333333328,4.626663026590143,-0.9106933333333282,0.1253369734098566
7.683,7.250129999999998,6.668126461523133,0.4328700000000021,1.0148735384768672
4.736,4.9102400000000035,5.243922293555578,-0.17424000000000373,-0.5079222935555778
7.494,6.230070000000001,5.601174655753765,1.2639299999999984,1.8928253442462344
4.199,5.006456666666666,5.201030409968118,-0.807456666666666,-1.0020304099681185
9.528,4.8836733333333395,4.6672911972623945,4.644326666666661,4.860708802737606
6.194,5.510293333333332,5.959309629232574,0.6837066666666676,0.23469037076742616
4.558,5.876790000000006,4.874676071197847,-1.3187900000000061,-0.3166760711978469
3.569,5.5340133333333394,5.353634802951164,-1.9650133333333395,-1.7846348029511638
8.429,8.121276666666661,6.999536097425223,0.3077233333333389,1.4294639025747768
5.717,6.5880499999999955,6.554483684879499,-0.8710499999999959,-0.8374836848794995
8.723,9.360750000000007,8.532565254048944,-0.6377500000000058,0.19043474595105714
4.257,5.0670500000000125,4.858149728188412,-0.8100500000000128,-0.6011497281884122
5.502,5.39026333333333,5.902596836244209,0.11173666666666993,-0.40059683624420916
6.385,6.622706666666659,5.984975805547184,-0.23770666666665896,0.4000241944528158
4.878,5.719716666666669,6.397663094718078,-0.8417166666666684,-1.5196630947180783
7.395,9.80912,8.933220568984682,-2.4141200000000005,-1.5382205689846824
9.904,8.47689666666666,8.850696147108067,1.4271033333333403,1.0533038528919327
7.137,7.001673333333323,6.263682239134756,0.1353266666666766,0.8733177608652438
7.525,9.88837999999999,9.220625972154977,-2.3633799999999905,-1.6956259721549767
6.445,6.726796666666664,7.260241843289239,-0.28179666666666403,-0.8152418432892388
3.904,5.677513333333317,4.591211959733929,-1.7735133333333168,-0.6872119597339292
5.496,4.959216666666663,5.196053185225978,0.5367833333333376,0.29994681477402274
6.679,7.09856333333332,6.277775089668006,-0.4195633333333193,0.4012249103319947
5.55,5.182046666666661,4.86168843171599,0.3679533333333387,0.6883115682840097
7.559,7.42138666666667,6.9907801755957895,0.1376133333333298,0.5682198244042107
5.819,7.619099999999995,7.6549376550259245,-1.8000999999999951,-1.8359376550259245
6.525,6.477623333333322,6.147254215043618,0.04737666666667817,0.37774578495638256
4.094,4.897416666666668,4.865701867911873,-0.803416666666668,-0.7717018679118723
10.498,10.045806666666662,10.4189640832141,0.4521933333333372,0.07903591678589983
2.865,4.532700000000001,5.118585180248589,-1.6677000000000008,-2.2535851802485887
10.215,7.172446666666659,6.651731044559665,3.042553333333341,3.5632689554403347
10.798,12.126543333333341,10.258650599014029,-1.3285433333333412,0.5393494009859712
5.827,5.617193333333326,5.4635547427755675,0.20980666666667425,0.36344525722443244
5.693,5.152899999999991,6.1547253838169205,0.5401000000000087,-0.46172538381692085
6.541,6.806566666666669,7.004821937894076,-0.2655666666666683,-0.46382193789407555
7.453,7.196893333333339,6.267613601122974,0.2561066666666614,1.185386398877026
6.544,6.426739999999987,5.957507662190846,0.11726000000001235,0.5864923378091538
5.461,5.668003333333338,6.093482821395363,-0.2070033333333381,-0.6324828213953628
11.377,7.398716666666672,6.040491295587882,3.9782833333333283,5.336508704412119
8.943,9.130559999999988,7.779768694941459,-0.18755999999998885,1.1632313050585408
6.222,7.414989999999998,7.3272310622983605,-1.1929899999999973,-1.10523106229836
10.235,7.519799999999998,7.6806894693360075,2.715200000000001,2.554310530663992
5.822,5.608156666666664,5.291911801616735,0.21384333333333583,0.5300881983832655
1.688,5.449689999999991,6.641428405291257,-3.761689999999991,-4.953428405291257
