osm_id,osm_code,osm_fclass,osm_name,osm_ref,osm_oneway,osm_maxspeed,osm_layer,osm_bridge,osm_tunnel,NO2points,NO2drives,NO2_ugm3,NOpoints,NOdrives,NO_ugm3,CO2points,CO2drives,CO2_mgm3,COpoints,COdrives,CO_mgm3,O3points,O3drives,O3_ugm3,PM25points,PM25drives,longitude,latitude,Observed_PM25,RF_Predicted_PM25,GB_Predicted_PM25,RF_Residual,GB_Residual
3792665,5122,residential,Offaly Road,,B,30,0,False,False,176,13.0,-7.121,194,15.0,-6.68,176,14.0,786.292,193,15.0,0.324,68,13.0,60.718,221,16.0,-6.288305397099578,53.36285872732039,5.353,4.82305333333334,5.201030409968118,0.5299466666666595,0.15196959003188137
1481147,5114,secondary,Blackhorse Avenue,R806,B,50,0,False,False,107,13.0,20.131,117,16.0,25.545,109,16.0,819.296,121,16.0,0.389,35,12.0,41.459,124,16.0,-6.332503748808769,53.37061390278437,7.045,6.353846666666665,6.262413890858524,0.6911533333333351,0.7825861091414756
147255535,5122,residential,Ferndale Avenue,,B,30,0,False,False,102,13.0,-1.766,116,16.0,-6.951,88,16.0,779.587,112,16.0,0.32,37,13.0,56.444,121,16.0,-6.2861441167467005,53.38753098481907,5.08,5.286453333333333,5.285021008466997,-0.20645333333333316,-0.20502100846699722
271418271,5122,residential,Saint Teresa's Road,,B,30,0,False,False,46,7.0,14.639,51,9.0,21.733,33,7.0,811.504,51,9.0,0.455,17,3.0,60.661,54,9.0,-6.315588522159817,53.316084485305744,6.232,5.668143333333333,5.606921402410767,0.5638566666666671,0.6250785975892335
28556692,5114,secondary,Anglesey Bridge,R138,B,50,1,True,False,74,22.0,24.746,80,23.0,49.463,66,21.0,861.308,80,24.0,0.45,25,15.0,51.561,84,24.0,-6.232382,53.31943105,7.57,8.122623333333332,7.787018387052825,-0.5526233333333312,-0.21701838705282483
8111028,5122,residential,Herbert Road,,B,30,0,False,False,165,23.0,4.442,179,27.0,-12.595,176,25.0,833.812,193,27.0,0.406,68,24.0,44.901,193,27.0,-6.222764824601991,53.3330015007065,5.543,6.61692999999999,7.29734613564964,-1.07392999999999,-1.75434613564964
4287269,5115,tertiary,Herberton Road,,B,30,0,False,False,368,29.0,3.315,411,34.0,-1.628,338,31.0,803.593,403,34.0,0.364,140,29.0,54.724,429,34.0,-6.2990995497647155,53.33612023812649,8.143,7.523123333333338,6.042557461496445,0.6198766666666629,2.1004425385035557
18955562,5122,residential,Chapelizod Hill Road,,B,50,0,False,False,55,14.0,35.088,63,15.0,13.279,56,14.0,851.623,61,15.0,0.378,22,14.0,35.299,59,14.0,-6.349178966637849,53.346386560090856,4.11,5.486143333333336,6.551859575452352,-1.376143333333336,-2.4418595754523515
52241889,5122,residential,Clanbrassil Close,,B,30,0,False,False,2,2.0,11.272,3,3.0,-12.346,3,3.0,851.591,3,3.0,0.448,1,1.0,48.897,3,3.0,-6.2755891782102236,53.33081137572236,4.733,8.549803333333339,7.079484197316988,-3.816803333333339,-2.3464841973169888
23007012,5111,motorway,Dublin Port Tunnel,M50,F,80,-3,False,True,41,17.0,198.795,52,20.0,1534.923,33,14.0,1148.454,48,20.0,0.815,16,15.0,7.384,54,20.0,-6.233114764552235,53.35986205602531,35.917,42.45235666666667,39.51933762874849,-6.535356666666665,-3.6023376287484865
399506773,5141,service,,,B,0,0,False,False,6,6.0,18.538,7,7.0,28.518,8,8.0,818.543,6,6.0,0.309,2,2.0,66.989,8,8.0,-6.3059234437942555,53.3979270134868,6.943,6.075199999999997,6.759765782998065,0.8678000000000026,0.18323421700193432
5234581,5115,tertiary,Jamestown Road,,B,50,0,False,False,94,15.0,9.528,101,18.0,-11.916,87,15.0,797.043,101,18.0,0.366,34,15.0,56.0,108,18.0,-6.29678706580203,53.39143372403095,4.456,6.031230000000002,6.051630627234088,-1.5752300000000012,-1.5956306272340877
27110795,5122,residential,Serpentine Road,,B,30,0,False,False,34,18.0,4.565,37,20.0,0.882,29,19.0,845.952,33,18.0,0.43,11,9.0,38.018,33,19.0,-6.222602307733325,53.331997179709774,6.868,7.078309999999998,7.285361817747115,-0.210309999999998,-0.417361817747115
128450676,5122,residential,Island Street,,B,30,0,False,False,334,22.0,15.938,377,27.0,-14.236,312,27.0,804.19,377,27.0,0.358,126,22.0,45.001,389,27.0,-6.281998770493627,53.34554562779159,9.551,8.407690000000006,6.352542809183455,1.1433099999999943,3.198457190816545
44006458,5122,residential,Observatory Lane,,B,30,0,False,False,9,9.0,23.99,10,10.0,22.767,6,6.0,839.176,11,11.0,0.432,3,3.0,40.239,11,11.0,-6.264786799971727,53.32568286716576,3.709,6.654586666666673,6.512552610860334,-2.945586666666673,-2.803552610860334
782528461,5114,secondary,Naas Road,R810,F,50,0,False,False,354,18.0,16.71,443,26.0,4.386,402,22.0,796.786,446,26.0,0.334,134,18.0,55.707,570,27.0,-6.3371514,53.328317425,6.141,5.6052166666666645,5.42399578329115,0.5357833333333355,0.7170042167088502
317554424,5122,residential,St James' Walk,,B,30,0,False,False,190,24.0,8.907,223,29.0,-2.15,200,28.0,788.507,225,29.0,0.339,70,24.0,53.003,224,29.0,-6.290444443502311,53.33856884370979,6.452,6.023020000000004,5.751261538909544,0.4289799999999957,0.7007384610904559
550014837,5141,service,,,B,0,0,False,False,2,2.0,1.599,3,3.0,2.325,1,1.0,783.84,3,3.0,0.302,0,,,3,3.0,-6.2810166,53.35755755,3.807,6.7599300000000015,5.912198604342502,-2.9529300000000016,-2.1051986043425024
3788879,5115,tertiary,Annamoe Terrace,,B,30,0,False,False,213,28.0,-1.317,262,34.0,-7.141,240,34.0,797.923,260,34.0,0.349,79,28.0,54.307,286,35.0,-6.287044890813802,53.359521655205164,4.914,4.90238000000001,5.593935095071068,0.011619999999989972,-0.6799350950710679
27206039,5122,residential,Crestfield Drive,,B,30,0,False,False,75,14.0,-10.682,80,15.0,-11.779,77,15.0,787.885,79,15.0,0.319,25,14.0,53.447,90,16.0,-6.25094248937528,53.386475873382224,4.978,5.795726666666671,5.305282413187616,-0.8177266666666716,-0.327282413187616
