Feature,Importance
osm_name_Park row,0.0
osm_name_Parker Hill,0.0
osm_name_Parkgate Place,0.0
osm_name_Ovoca Road,0.0
osm_name_Parkgate Street,0.0
osm_name_Parkside Avenue,0.0
osm_name_Parkside Court,0.0
osm_name_Parkside Way,0.0
osm_name_Parkview,0.0
osm_name_Parkview Avenue,0.0
osm_name_Parliament Street,0.0
osm_name_Parnell Avenue,0.0
osm_name_Nelson Street,0.0
osm_name_Parnell Bridge,0.0
osm_name_Nerney's Court,0.0
osm_name_Old Naas Road,0.0
osm_name_Owensilla Terrace,0.0
osm_name_Oxford Road,0.0
osm_name_Oxmantown Lane,0.0
osm_name_Oxmantown Road,0.0
osm_name_Palmerston Gardens,0.0
osm_name_New Ireland Road,0.0
osm_name_Palmerston Park,0.0
osm_name_Palmerston Place,0.0
osm_name_Palmerston Road,0.0
osm_name_New Bride Street,0.0
osm_name_Paradise Place,0.0
osm_name_Park Avenue,0.0
osm_name_Park Crescent,0.0
osm_name_Park Drive,0.0
osm_name_New Church Street,0.0
osm_name_Park Lane,0.0
osm_name_Park Lawn,0.0
osm_name_Park Springs,0.0
osm_name_New Bridge (Kylemore Road),0.0
osm_name_New Bridge,0.0
osm_name_Palmerston Villas,0.0
osm_name_North Wall Quay,0.0
osm_name_Northbrook Avenue,0.0
osm_name_Northbrook Avenue Lower,0.0
osm_name_Newport Street,0.0
osm_name_Northbrook Road,0.0
osm_name_Northern Cross Route,0.0
osm_name_Northland Drive,0.0
osm_name_Northland Grove,0.0
osm_name_Northside Shopping Centre Car Park,0.0
osm_name_Old Kilmainham Village,0.0
osm_name_Newmarket Street,0.0
osm_name_Northumberland Road,0.0
osm_name_Newmarket,0.0
osm_name_Nortons Avenue,0.0
osm_name_Nottingham Street,0.0
osm_name_Number 1 Branch Road North,0.0
osm_name_Number 2 Branch Road North,0.0
osm_name_Number 2 Branch Road North Extension,0.0
osm_name_Nutley Avenue,0.0
osm_name_Nutley Lane,0.0
osm_name_Northumberland Court,0.0
osm_name_Nicholas Street,0.0
osm_name_Noel Purcell Walk,0.0
osm_name_Nicholas Avenue,0.0
osm_name_Nore Road,0.0
osm_name_Norfolk Road,0.0
osm_name_Norseman Place,0.0
osm_name_Newtown Way,0.0
osm_name_North Bull Wall,0.0
osm_name_North Circular Road,0.0
osm_name_Newtown Avenue,0.0
osm_name_North Great Clarence Street,0.0
osm_name_North Great George's Street,0.0
osm_name_Newtown Road,0.0
osm_name_North King Street,0.0
osm_name_North Lotts,0.0
osm_name_North Richmond Street,0.0
osm_name_North Road,0.0
osm_name_North Strand Road,0.0
osm_name_North Wall Avenue,0.0
osm_name_Newtown Park,0.0
osm_name_North Frederick Street,0.0
osm_name_Newgrange Road,0.0
osm_name_Oak Road,0.0
osm_name_Oakbury,0.0
osm_name_Oaklands Crescent,0.0
osm_name_Oaklands Drive,0.0
osm_name_Newcomen Bridge,0.0
osm_name_Oaklands Park,0.0
osm_name_Newcomen Avenue,0.0
osm_name_Oakley Road,0.0
osm_name_Nutley Park,0.0
osm_name_Oakwood Road,0.0
osm_name_Odd Lamp Road,0.0
osm_name_Newbury Wood,0.0
osm_name_Offaly Road,0.0
osm_name_Old Abbey Street,0.0
osm_name_Old Cabra Road,0.0
osm_name_Old County Road,0.0
osm_name_Old Finglas Road,0.0
osm_name_Old Kilmainham,0.0
osm_name_Old Malahide Road,0.0
osm_name_Oakpark Estate,0.0
osm_name_Nutley Road,0.0
osm_name_O'Brien Road,0.0
osm_name_O'Brien's Place,0.0
osm_name_O'Carolan Road,0.0
osm_name_O'Connell Avenue,0.0
osm_name_O'Connell Bridge,0.0
osm_name_O'Connell Street Lower,0.0
osm_name_O'Connell Street Upper,0.0
osm_name_O'Curry Avenue,0.0
osm_name_Newgrove Avenue,0.0
osm_name_O'Sullivan Avenue,0.0
osm_name_O'Daly Road,0.0
osm_name_O'Devaney Gardens,0.0
osm_name_O'Donoghue Street,0.0
osm_name_O'Donovan Road,0.0
osm_name_O'Donovan Rossa Bridge,0.0
osm_name_O'Hara Avenue,0.0
osm_name_O'Hogan Road,0.0
osm_name_Adare Avenue,0.0
osm_name_O'Moore Road,0.0
osm_name_O'Neachtain Road,0.0
osm_name_O'Curry Road,0.0
